,0
0,1000000.0
1,1000050.8564936026
2,1000222.6426119563
3,1000031.9785207893
4,1000084.8211587913
5,1000889.7203834052
6,999481.7406885253
7,999897.7053619283
8,1001283.0397774449
9,1000696.7909878377
10,1002175.3274816416
11,1002111.6891729695
12,1000271.8873182983
13,994932.9792480229
14,993173.0956406478
15,991643.0200398602
16,991940.9208163973
17,992645.9492894849
18,990740.2216354538
19,989868.7754433705
20,993304.835371596
21,991293.8920815914
22,985123.5173524964
23,976808.7636519582
24,979931.600241891
25,982627.8577864161
26,981248.4263406699
27,982986.0006697174
28,982024.948087808
29,988515.5801360621
30,993296.4069931069
31,996067.1663745339
32,997428.5336155485
33,999081.4800394789
34,996261.5079397828
35,998257.4756142357
36,994078.8529900782
37,999573.3548842805
38,1005092.6280845023
39,1007963.6855597303
40,1006592.6394998552
41,1004343.0720853697
42,1010702.2559529158
43,1015250.2354975317
44,1015894.3473966136
45,1017056.4874020367
46,1018353.7665727967
47,1024596.8996290793
48,1022677.0312606754
49,1027458.5442570387
50,1030088.8227603929
51,1032397.8390257207
52,1033442.1396680052
53,1032837.960444159
54,1037453.7431551844
55,1037757.7307059175
56,1042010.8477805877
57,1037277.0521229012
58,1037306.4688512033
59,1040110.1778673701
60,1036646.5401732428
61,1037311.1634806646
62,1040287.8115711196
63,1042189.0784178663
64,1038824.6683272163
65,1037441.3002622541
66,1046631.3040204063
67,1053279.1811801584
68,1054403.5417934794
69,1062376.57839816
70,1065057.8374533853
71,1061116.3092177005
72,1057705.8949494036
73,1066421.6062410178
74,1067433.1306203546
75,1065566.2265549465
76,1078970.75953351
77,1087735.4437491286
78,1072073.0269924165
79,1061287.4050299458
80,1075715.6066400807
81,1070424.217949219
82,1066963.7646043638
83,1060686.3732834521
84,1044339.4622364746
85,993046.5211593661
86,991756.7108104322
87,1034151.8421315898
88,1035791.8574013432
89,1045110.0790609157
90,1044081.6917305612
91,1011805.8187778507
92,1003830.6699957484
93,1001019.7205608764
94,981447.9915394835
95,961106.4018874075
96,948989.1947486342
97,961064.6068781931
98,943081.8046463842
99,963120.0657892394
100,972292.662604423
101,971555.371972789
102,968852.5658238314
103,965685.7311423987
104,980625.3516219524
105,960377.6020873899
106,946855.5052397149
107,935111.5303761157
108,946318.8967323278
109,956574.5960514528
110,963098.4139226817
111,972837.1622311006
112,977544.3103852414
113,985147.2874899668
114,988899.9746977007
115,991029.466018843
116,992260.546456625
117,982384.3059037928
118,966249.4711326009
119,952814.8020025009
120,947035.3337245848
121,946193.5742809847
122,916842.1167889023
123,906328.1798285356
124,894880.3938111073
125,899679.1268828971
126,905167.3739565904
127,913172.6876780494
128,931152.0899485754
129,935257.5829102622
130,940558.6705681784
131,947077.5122632803
132,946314.3229820876
133,942781.0726467683
134,932959.7430790114
135,921912.3430681585
136,921706.6905243447
137,934632.149636449
138,944566.4657570168
139,947791.7273121942
140,960544.203436559
141,968344.4110329893
142,963139.5648875308
143,954428.4765597993
144,944789.3366061464
145,960534.9398125504
146,969754.3217301174
147,971194.7685936401
148,966010.1215562788
149,959849.5341298388
150,973034.8850669977
151,967576.1247070181
152,950036.2411932972
153,940999.8661876171
154,940417.8398843101
155,937318.185121323
156,952721.7824768391
157,952226.5477303574
158,942021.5688373166
159,940099.1137125338
160,945164.3231917783
161,930078.9165248036
162,931271.9392894759
163,935935.6476011112
164,931429.834166882
165,934409.837368777
166,924981.4477830561
167,942399.1475299763
168,953911.790456319
169,971431.7602139813
170,966151.1453058165
171,963115.6541058861
172,965879.5674421286
173,965316.1379890043
174,974166.4759881491
175,979438.9544901296
176,984688.8236901286
177,988206.525443576
178,991331.31941179
179,998941.6323658703
180,1005759.6610137011
181,1000537.0964506352
182,999257.1486592573
183,1014265.7937113497
184,1014811.1656400909
185,1010231.9618567148
186,1013035.9481917834
187,1014571.303518782
188,1009524.2173648974
189,997967.8350439821
190,1008654.0600278415
191,1010855.8831073444
192,1012575.3374149123
193,1014505.9239564623
