,0
0,3876.583602852421
1,5149.031534179812
2,-903.3231601184234
3,1270.3049125547986
4,11152.408768342342
5,-11098.574320149608
6,-2889.6120433514006
7,-9540.018028475344
8,17189.824421571102
9,-6594.844046873739
10,12560.728136020713
11,10689.179151544347
12,2935.634221481392
13,-5977.446527792839
14,7785.135516409529
15,-448.70408675214276
16,907.8057716817129
17,7308.186484357575
18,-5171.449967619032
19,1541.4266333831474
20,-1854.4737186999992
21,-5404.196627393598
22,-1203.402984074084
23,-4888.079258469865
24,21141.003335774876
25,4534.865537889535
26,25018.7717567347
27,45893.72468740679
28,10040.724895276595
29,25789.24721852434
30,3531.681907991413
31,-6719.662194325589
32,-278.44125833082944
33,9567.595539014554
34,-2961.248671823647
35,6726.4634337860625
36,3185.711699886946
37,5433.983769973507
38,-8299.952553083189
39,10868.189612480579
40,23133.48840836482
41,20708.350891851354
42,1963.5547309699468
43,7030.495912727434
44,7513.785040551797
45,13526.068268480478
46,24249.12816708465
47,3871.2001792544033
48,-1497.6001247954555
49,767.6579623990692
50,2986.129150784109
51,13600.957500619115
52,-6706.872355182422
53,-9263.540957022691
54,13932.178131661145
55,-4681.507434875006
56,-1477.9904397733044
57,-1630.2293617925607
58,6571.150480350247
59,723.6913172500208
60,-14363.828778488329
61,-1659.8768290255684
