,0
0,1913771.5789005426
1,1922152.798706872
2,1945080.547540438
3,1957498.9835429876
4,1967361.8586511393
5,1967623.275671614
6,1983359.9705413813
7,2016735.722214068
8,2037115.036068874
9,2053740.389305242
10,2068780.3577337507
11,2065315.4618829004
12,2067707.292700116
13,2082142.7512102663
14,2084393.3528118844
15,2088577.3598090431
16,2112100.909364009
17,2119855.9402031223
18,2061813.136502711
19,2107605.029268817
20,2090975.97865819
21,2062448.256502469
22,1972150.1335084948
23,1938453.457624124
24,2009000.0717999286
25,1960184.10708037
26,1917957.3105776883
27,1977767.4504639008
28,1977351.361897505
29,1987756.7517953166
30,2016429.3340063407
31,2037190.7313337412
32,2033955.270441906
33,2034745.0282058164
34,2027012.373602791
35,2040766.4384507434
36,2074514.4723222847
37,2089103.4054990557
38,2070338.4821047138
39,2022396.1232840377
40,1985659.4780050858
41,2007469.5687562483
42,2026964.0518288687
43,2010393.3831600286
44,2023402.0656726374
45,2036570.5755929966
46,2037079.437738455
47,2030580.6151542997
48,2010554.0197513222
49,2007492.8668256935
50,2013258.8973415298
51,1993756.5814465887
52,2005726.2659614852
53,2010047.1068200546
54,1959682.4299616504
55,1933185.2692031472
56,1953812.6013688934
57,1963165.8138009962
58,1931156.0137710199
59,1952347.338575728
60,1933776.6432006333
61,1946964.5215787895
62,1948241.6663008775
