date,account_value
2016-01-04,1000000.0
2016-01-05,1000173.4089578196
2016-01-06,998268.5590448856
2016-01-07,995111.205651012
2016-01-08,993176.557002836
2016-01-11,990059.7322385552
2016-01-12,991724.4339646902
2016-01-13,989658.2718400063
2016-01-14,987558.8782331382
2016-01-15,981624.8754348464
2016-01-19,984106.6662661536
2016-01-20,973362.9915462264
2016-01-21,978400.1677191536
2016-01-22,985819.5584622102
2016-01-25,982625.0281386822
2016-01-26,984082.6443925076
2016-01-27,985808.478504291
2016-01-28,984718.0647795356
2016-01-29,992082.0277183744
2016-02-01,994527.184578139
2016-02-02,989002.2035062448
2016-02-03,985711.4832491856
2016-02-04,989929.2821936707
2016-02-05,984333.831566107
2016-02-08,969557.07676634
2016-02-09,971439.7710426662
2016-02-10,978269.8283831404
2016-02-11,965568.4221639604
2016-02-12,975506.1205834384
2016-02-16,987269.5960319276
2016-02-17,997541.9169095577
2016-02-18,998442.102217618
2016-02-19,992583.6907167444
2016-02-22,1006788.130786314
2016-02-23,1003568.525052267
2016-02-24,992588.2811289768
2016-02-25,1007924.5692945296
2016-02-26,1012753.7966419111
2016-02-29,1006466.0155132252
2016-03-01,1012711.7143619012
2016-03-02,1018441.9956150056
2016-03-03,1020256.9302496496
2016-03-04,1026733.13126365
2016-03-07,1025132.2205212412
2016-03-08,1024295.320149351
2016-03-09,1027204.0525478406
2016-03-10,1026016.816829807
2016-03-11,1037531.542980216
2016-03-14,1039701.5716617348
2016-03-15,1037258.9213370048
2016-03-16,1043380.7195283212
2016-03-17,1051075.8230197416
2016-03-18,1059626.5474870575
2016-03-21,1060553.598734341
2016-03-22,1059545.9030752098
2016-03-23,1056879.2571914908
2016-03-24,1052040.4597616664
2016-03-28,1057218.8072733923
2016-03-29,1058412.335955395
2016-03-30,1072985.685736511
2016-03-31,1074328.2845888594
2016-04-01,1076438.795345918
2016-04-04,1085926.754081419
2016-04-05,1076965.089045219
2016-04-06,1072398.3844412798
2016-04-07,1072998.9226944025
2016-04-08,1073222.4744120592
2016-04-11,1072031.249814284
2016-04-12,1084559.0234425217
2016-04-13,1089789.9675410308
2016-04-14,1090439.271951691
2016-04-15,1092846.4179130697
2016-04-18,1095083.696432292
2016-04-19,1096839.8333063964
2016-04-20,1094388.3963971443
2016-04-21,1086417.537467406
2016-04-22,1084388.7209993391
2016-04-25,1086096.06610697
2016-04-26,1088270.6674029478
2016-04-27,1085514.250627476
2016-04-28,1074205.5466962575
2016-04-29,1080103.4719277855
2016-05-02,1074336.0839289888
2016-05-03,1066728.446812256
2016-05-04,1066514.3314979556
2016-05-05,1060991.827311447
2016-05-06,1067379.7851781324
2016-05-09,1074646.390367335
2016-05-10,1073865.5937799548
2016-05-11,1068000.9974171105
2016-05-12,1063292.7992114031
2016-05-13,1061061.0494123
2016-05-16,1058247.0187489411
2016-05-17,1052092.6014588715
2016-05-18,1049037.7852185431
2016-05-19,1052637.4267108024
2016-05-20,1050894.4676061636
2016-05-23,1059474.258903646
2016-05-24,1069273.7022690375
2016-05-25,1071213.9422761488
2016-05-26,1071024.1363727418
2016-05-27,1070748.652337798
2016-05-31,1065157.7851891252
2016-06-01,1068328.1498153482
2016-06-02,1068687.1891989734
2016-06-03,1075967.215223055
2016-06-06,1080907.1493725665
2016-06-07,1082264.2118818464
2016-06-08,1079630.4231079656
2016-06-09,1071997.6901306924
2016-06-10,1068780.655100763
2016-06-13,1058804.87724365
2016-06-14,1063072.538753308
2016-06-15,1055042.6145186676
2016-06-16,1057878.649391211
2016-06-17,1067350.6781902383
2016-06-20,1063931.257062507
2016-06-21,1064380.3208371983
2016-06-22,1071550.762973289
2016-06-23,1045881.0634302634
2016-06-24,1025709.419073736
2016-06-27,1035605.7489308422
2016-06-28,1052862.046031513
2016-06-29,1061061.7115023672
2016-06-30,1070177.4251566594
2016-07-01,1063403.4876321375
2016-07-05,1068418.4384731448
2016-07-06,1080469.8057349958
2016-07-07,1092592.535444562
2016-07-08,1095922.7128529178
2016-07-11,1096842.1073757303
2016-07-12,1101565.4718914377
2016-07-13,1103784.041668403
2016-07-14,1102726.7062740796
