date,account_value,account_value,account_value
2016/1/4,1000000,1000000,1000000
2016/1/5,1000173.409,1000153.917,1000224.009
2016/1/6,998268.559,997652.6289,996716.1292
2016/1/7,995111.2057,993554.0216,991589.6704
2016/1/8,993176.557,991138.6098,990481.0497
2016/1/11,990059.7322,988186.1829,988154.0804
2016/1/12,991724.434,991067.9429,989582.6102
2016/1/13,989658.2718,987879.9116,986812.4421
2016/1/14,987558.8782,983250.7433,984224.62
2016/1/15,981624.8754,977448.0844,977697.215
2016/1/19,984106.6663,980085.1081,980602.426
2016/1/20,973362.9915,967520.5853,973958.9298
2016/1/21,978400.1677,973030.3687,977647.7812
2016/1/22,985819.5585,979868.2993,981066.8365
2016/1/25,982625.0281,977593.2374,979798.8788
2016/1/26,984082.6444,978971.2165,979956.0123
2016/1/27,985808.4785,981107.3018,982434.3131
2016/1/28,984718.0648,979968.693,979507.4138
2016/1/29,992082.0277,991449.025,992551.3337
2016/2/1,994527.1846,996571.378,997283.3915
2016/2/2,989002.2035,988587.8304,987395.3723
2016/2/3,985711.4832,983859.6394,982231.1255
2016/2/4,989929.2822,988758.6292,987631.1256
2016/2/5,984333.8316,982389.0276,983854.8439
2016/2/8,969557.0768,960418.8246,963100.5852
2016/2/9,971439.771,960252.4263,963257.3436
2016/2/10,978269.8284,968786.2568,970474.3253
2016/2/11,965568.4222,946038.1941,946843.2389
2016/2/12,975506.1206,959167.1086,957778.0334
2016/2/16,987269.596,974850.5994,975579.8241
2016/2/17,997541.9169,989332.7625,990727.0042
2016/2/18,998442.1022,990891.7953,993413.3043
2016/2/19,992583.6907,983663.4664,986256.9103
2016/2/22,1006788.131,998045.0226,1000071.424
2016/2/23,1003568.525,992514.0591,992112.6992
2016/2/24,992588.2811,978930.6979,979205.6626
2016/2/25,1007924.569,995999.5408,994769.7383
2016/2/26,1012753.797,1005521.447,1004070.946
2016/2/29,1006466.016,998274.6567,997122.4164
2016/3/1,1012711.714,1007458.366,1008415.302
2016/3/2,1018441.996,1014402.577,1016703.754
2016/3/3,1020256.93,1014316.654,1017407.34
2016/3/4,1026733.131,1022893.68,1025899.683
2016/3/7,1025132.221,1019961.446,1024420.055
2016/3/8,1024295.32,1015860.227,1021216.145
2016/3/9,1027204.053,1013934.856,1020153.249
2016/3/10,1026016.817,1011103.394,1018642.2
2016/3/11,1037531.543,1022451.165,1030868.063
2016/3/14,1039701.572,1024136.462,1032445.426
2016/3/15,1037258.921,1020953.387,1028067.966
2016/3/16,1043380.72,1025338.398,1033106.316
2016/3/17,1051075.823,1030630.046,1040675.737
2016/3/18,1059626.547,1042833.408,1054944.715
2016/3/21,1060553.599,1044724.088,1059818.696
2016/3/22,1059545.903,1041456.343,1055843.115
2016/3/23,1056879.257,1038543.376,1052012.672
2016/3/24,1052040.46,1031467.851,1041923.037
2016/3/28,1057218.807,1037968.108,1049773.64
2016/3/29,1058412.336,1036838.69,1047975.185
2016/3/30,1072985.686,1051609.922,1063379.514
2016/3/31,1074328.285,1051691.539,1062966.653
2016/4/1,1076438.795,1051069.527,1062973.044
2016/4/4,1085926.754,1057427.867,1068571.414
2016/4/5,1076965.089,1045428.252,1053662.596
2016/4/6,1072398.384,1038164.672,1043749.296
2016/4/7,1072998.923,1040048.199,1043794.296
2016/4/8,1073222.474,1040782.726,1045291.342
2016/4/11,1072031.25,1042416.221,1046107.866
2016/4/12,1084559.023,1060009.039,1068015.32
2016/4/13,1089789.968,1066470.33,1076099.281
2016/4/14,1090439.272,1065906.982,1074480.541
