,0
0,1387687.180183269
1,1409637.802814457
2,1413736.4738808332
3,1429008.7640701164
4,1437996.7973921893
5,1447310.7244092294
6,1446033.466518305
7,1443429.0486972742
8,1427539.863765078
9,1446285.819293772
10,1435205.174070722
11,1430242.0602994475
12,1426052.206827275
13,1423566.849155449
14,1426274.840242368
15,1396403.0039889785
16,1389716.2139141213
17,1349811.54121573
18,1340603.1484854664
19,1331488.7566477302
20,1351184.5615779464
21,1377256.1495131038
22,1389091.5175469788
23,1410097.8825477264
24,1411198.4955545045
25,1473914.7083416497
26,1472440.816516474
27,1473864.714121082
28,1465658.8621463962
29,1473491.8954249965
30,1497063.3226032846
31,1491453.783335013
32,1498596.977066389
33,1479554.8982524574
34,1481044.9508889874
35,1490819.0997039482
36,1517278.2232365282
37,1512076.1016431923
38,1512646.2852949947
39,1494619.9487184554
40,1507325.4913083152
41,1493959.1035139305
42,1505349.9754064959
43,1512723.7187021663
44,1508983.2135726728
45,1510148.2278074606
46,1514475.6850738192
47,1507367.2276731303
48,1518969.7034953162
49,1528295.3093223865
50,1522470.1584288746
51,1531252.1937589573
52,1536304.991821622
53,1533037.831136065
54,1524714.843754785
55,1529323.885849648
56,1535751.432153496
57,1532676.0707106977
58,1544200.6413914992
59,1542296.2373305906
60,1544088.1989493025
61,1542629.2419739268
62,1535619.1162827234
