,0
0,2814.4324999621604
1,-2760.6256410644855
2,4897.578758602962
3,1530.1176674242597
4,33308.55115450686
5,5706.670498656109
6,3473.373421293916
7,7699.487110939808
8,3902.4153589403722
9,1486.9541597722564
10,9570.92869763216
11,-2401.7604600687046
12,6328.904817563016
13,-1422.5392783840653
14,296.6633697634097
15,-874.5926180337556
16,667.9425068262499
17,-928.9990464404691
18,1102.4650262689684
19,-1987.233817866072
20,-1658.4217358366586
21,-953.0947772772051
22,-2366.1681304997765
23,168.55444104829803
24,-5501.823835574556
25,1831.0684669369366
26,-377.49866375443526
27,3768.686273977859
28,-1993.2512755240314
29,-1621.4704413949512
30,2860.87598833465
31,-903.9808628621977
32,-8063.645397318527
33,2183.2981830306817
34,-651.4787930785678
35,-7062.48587590782
36,339.1156053962186
37,-7199.814700580202
38,-1597.6442999523133
39,8579.051622907398
40,7794.560726842377
41,3104.6442396743223
42,4049.269733432913
43,6816.462125850841
44,1904.1901375153102
45,-5720.761123060249
46,837.02783621056
47,-1368.6791292130947
48,432.5017335994635
49,7173.60676968121
50,1973.4048304650933
51,1295.396923005581
52,1188.2948613422923
53,-6552.5846056905575
54,-5347.140749292681
55,2335.0263352431357
56,2687.5653552522417
57,7413.304125116672
58,15321.947250301484
59,-714.0199645701796
60,-191.35405678395182
61,1386.3364495430142
