,0
0,1000000.0
1,1000112.7868605047
2,1000162.4068863129
3,1000478.4704208565
4,1001446.7128911322
5,1003383.2701185902
6,998147.5990554143
7,999974.5851853972
8,1004454.1626853413
9,999296.8282204043
10,1001711.2979000246
11,997004.6461883001
12,987705.4324733878
13,965719.4328069241
14,959741.2527326008
15,957413.9418681244
16,954712.8746220813
17,958748.7707185457
18,955414.3989725307
19,955919.402991042
20,964629.600602364
21,969266.2903968302
22,952772.6307116986
23,938455.1680361954
24,940494.037039596
25,945637.8357722901
26,945527.4482257556
27,948568.3508730128
28,947204.9799571886
29,961740.122991625
30,970656.0282507235
31,972609.875347292
32,977115.0740412954
33,979818.9350714545
34,975769.433331657
35,977343.8306029123
36,968046.298154315
37,974732.624755812
38,978973.1238409856
39,982964.321424231
40,982542.9126576922
41,984723.5674831809
42,995631.3361598661
43,1002070.0580241344
44,1001993.2644079715
45,1002831.6283184226
46,1003445.8426223466
47,1011833.4061502857
48,1009442.1163566697
49,1015108.625101729
50,1019584.5030732981
51,1021413.4148459893
52,1024638.1769261039
53,1024546.5377446648
54,1029942.4864975068
55,1031413.1454715766
56,1037185.2180580635
57,1033125.9006989206
58,1034927.786767979
59,1034610.0633903506
60,1030856.7910892067
61,1034580.7959524441
62,1037000.0377330274
63,1037483.9148004907
64,1037682.2317140283
65,1037891.6832252226
66,1043454.0003108311
67,1046286.7633299677
68,1046210.4707205906
69,1056823.6747048872
70,1059456.210831359
71,1044590.5271696537
72,1033562.5606765345
73,1041650.3640638128
74,1038122.8577988126
75,1035084.5430330853
76,1040868.1240666955
77,1042150.3420306649
78,1030702.0631596039
79,1026777.691311982
80,1038325.0030326407
81,1026423.8170565169
82,1026344.9502008792
83,1018986.1477212145
84,1012759.9994661596
85,966558.0884397035
86,973527.8268272831
87,1000406.3578584185
88,1001587.229168326
89,1008427.7105967196
90,1011340.129348553
91,991831.162571649
92,985573.5852549025
93,989443.0832804128
94,973472.1854736683
95,952450.9033618016
96,940770.8313213042
97,949000.2327861042
98,931308.1658268921
99,945686.4708111206
100,950458.317055602
101,952686.9765537482
102,949767.3576344892
103,952991.1018871388
104,963327.9066371645
105,943992.3825213357
106,931990.3469082629
107,924195.8133331573
108,933918.8230208016
109,939850.864166655
110,940366.4379377651
111,950630.5560005557
112,954951.0176502463
113,960169.669028788
114,960431.5371408638
115,967509.4182430985
116,972176.5916923744
117,961570.5203252123
118,952215.5996363083
119,947607.6106244228
120,946090.4269487618
121,946885.8130461823
122,925155.8846089083
123,916516.0373995131
124,904855.3712233804
125,904058.6276326791
126,909487.569217432
127,917052.2929250788
128,935024.8082878861
129,941469.8716103641
130,945712.3099691848
131,959505.7439484154
132,957355.1951135105
133,958686.7050677356
134,955208.803686227
135,948087.3258587327
136,945382.0088103998
137,953164.0043047871
138,957428.2358291247
139,962093.550824084
140,970591.3732319664
141,974698.0316116234
142,970010.6134883012
143,970774.1314367901
144,967483.1162165796
