,0
0,1280700.9155062626
1,1295298.1769604813
2,1290941.0965109498
3,1296718.5301186286
4,1295155.5751720094
5,1293717.9321232487
6,1297401.041484607
7,1293630.7182641171
8,1300978.9410413138
9,1289605.3528255413
10,1281299.86200085
11,1280209.5443826024
12,1277666.7534889446
13,1275036.2156840758
14,1280145.4499811225
15,1300696.699050595
16,1310365.947034961
17,1302365.664934007
18,1286700.19794993
19,1276838.9503667485
20,1279012.5898644368
21,1270302.2132750915
22,1290683.5324679676
23,1298053.7983193896
24,1302231.2254506166
25,1293091.3359244282
26,1302450.0598313224
27,1312204.0668442515
28,1325393.78858595
29,1329511.9450368634
30,1336958.6218882115
31,1337672.4284831851
32,1339169.6037670416
33,1354001.306290833
34,1354086.4787142326
35,1359593.6162342802
36,1355132.6397495558
37,1360748.0144093223
38,1364491.9996007641
39,1387173.4657624718
40,1387383.939547786
41,1381521.2012668755
42,1373461.6095596927
43,1374442.792170119
44,1374183.8925317235
45,1368001.5595659553
46,1365493.5337629812
47,1360231.0502032377
48,1355965.072323645
49,1359218.6542051148
50,1361090.9353047933
51,1359574.8788024883
52,1356216.8042044686
53,1342730.3419559104
54,1325291.6857263073
55,1330997.641031787
56,1326773.7197995298
57,1308827.5134357493
58,1319848.94347564
59,1326967.3708963362
60,1330967.2046841143
61,1330116.1110862307
62,1322538.80889094
