,0
0,1000000.0
1,1000094.5901242481
2,1000405.4679958469
3,1000724.646480384
4,1001554.8119436689
5,1002827.1890989849
6,997771.6727522964
7,999682.5776316158
8,1004396.4515389069
9,998611.8283838208
10,1000936.8264892794
11,997137.0400916132
12,988193.6561301247
13,965349.7765632374
14,960035.3503409928
15,956544.7525278084
16,953396.6166001706
17,955694.0608249226
18,951753.044566216
19,951583.3069584314
20,960147.3108911065
21,963822.505501369
22,946244.6068399203
23,930481.5507081588
24,932036.7347775715
25,937916.426272673
26,937842.184918504
27,942343.052504367
28,940150.427971081
29,956194.9108279983
30,963963.4200817107
31,966956.6449912224
32,971394.7770673382
33,973083.223246906
34,967343.810461703
35,968498.1759972668
36,958229.4869850563
37,965668.2933077164
38,970942.731020352
39,977056.1831885093
40,976838.904844231
41,978020.7286506544
42,991759.9443539156
43,997486.9420526971
44,996807.0074999845
45,998706.1484098098
46,999146.5042961526
47,1007230.9655581907
48,1002800.6746551326
49,1007532.7993073945
50,1013854.5050353569
51,1017421.8151809887
52,1020538.1829556427
53,1018954.022029469
54,1023063.4268589308
55,1023336.3749627825
56,1027675.5097414316
57,1022784.0235219899
58,1026251.8075612038
59,1029692.5502168977
60,1026199.2808682058
61,1031794.5241838167
62,1035071.1506130925
63,1036479.2018831728
64,1035080.8683628701
65,1034261.4898538275
66,1040941.6118707274
67,1044629.0844054708
68,1043472.4695245074
69,1055624.189236472
70,1059333.165517766
71,1042495.94778291
72,1030052.9458215121
73,1039362.5307112258
74,1039078.5370649548
75,1037444.7430380273
76,1045158.5539642671
77,1042634.2630613231
78,1035943.7690091555
79,1031567.4836217752
80,1046876.7997969945
81,1033445.1430965491
82,1035103.9831073284
83,1026805.556878852
84,1017457.7589971917
85,968062.2307148194
86,975987.2421965841
87,1005657.7960757107
88,1006966.9653906883
89,1016452.4375528959
90,1018991.0719279934
91,997287.4798870911
92,989499.5319260748
93,990478.3807099308
94,972021.8182648459
95,950191.820044445
96,939380.3595991475
97,947629.3527241178
98,928780.77120706
99,944055.2200036431
100,948318.3033386624
101,948699.8870266818
102,943920.7202352566
103,943290.602114762
104,953752.571284469
105,932674.7780870845
106,920831.5718673602
107,910550.7484967981
108,921240.497017624
109,929015.0331946102
110,933361.4372380307
111,945630.9405007614
112,950397.9929040584
113,956964.7776630458
114,957406.8147199304
115,964725.6146612976
116,970789.0509504058
117,958304.5929340444
118,948892.1915606812
119,944202.6499992872
120,942776.9480585473
121,944175.8105801281
122,922857.3374860634
123,917694.1254455455
124,907617.1742864825
125,906969.5474172814
126,911625.9412622186
127,919865.4657143551
128,940455.2773848035
129,946550.7774472621
130,948292.9799502504
131,963595.64397847
132,961586.3703955042
133,962348.505368256
134,959059.9426564971
135,951636.0836628295
136,946639.1791371518
137,953652.9037209855
138,962869.5253183297
139,971663.9969520743
140,982615.1051918964
141,987203.2113264175
142,982145.7311445399
143,984764.8841398347
144,981997.6301668988
145,999608.8875762037
146,1001570.6968837843
147,1004574.6946001953
148,1001493.1949181865
149,994943.9351408056
150,1006038.5462150627
151,999454.9389747343
152,981631.8833409082
153,972663.4555304733
154,973684.4075149168
155,966657.5742910306
156,977251.8869119422
157,975660.0217903127
158,967555.4727877136
159,959386.460557142
160,962288.0069531283
161,943820.4959199077
162,937714.2237784935
163,940546.0292156191
164,936190.7846161721
165,937931.5834713442
166,928789.7834595123
167,944711.4532899322
168,951263.8943768214
169,968154.7645792882
170,964674.5454561645
171,967088.4327907551
172,974300.9536688713
173,975071.9858154492
174,987639.9180664014
175,986220.799828637
176,981605.8177441335
177,984503.7551602252
178,989159.4281508349
179,997585.1643981342
180,1004446.9039651973
181,1002320.0428833015
182,992567.7318508171
183,1001797.381380626
184,1006467.0989767093
185,1009848.3964619669
186,1013843.5325665784
187,1017750.4277996002
188,1019962.5966239327
189,1012284.5358299684
190,1022230.314051378
191,1029785.9071051939
192,1030604.562272296
193,1031035.5955932444
194,1033917.4481743703
195,1031745.5901530051
196,1044617.616229986
197,1041651.9700679714
198,1042455.0843634262
199,1043457.4494151066
200,1035072.5960773102
201,1044308.41697023
202,1051762.3519581766
203,1050491.0582230904
204,1054765.7532537368
205,1051387.476782843
206,1047136.7498138599
207,1051489.6391740707
208,1046076.0137123184
209,1047890.147588937
210,1050210.009557838
211,1047659.1073373811
212,1069144.5436062983
213,1075061.1139492237
214,1070684.5036335369
215,1067135.1197840972
216,1059491.2959398213
217,1056855.0328576085
218,1051536.1362538186
219,1052734.9340578655
220,1035527.7317695866
221,1031183.9657922955
222,1044309.2444114161
223,1045908.5569612692
224,1037382.8973909746
225,1028697.9427184945
226,1037371.1286961605
227,1032353.498482155
228,1024587.046438816
229,1023734.65849969
230,1041104.5269421344
231,1052509.992741383
232,1056374.8789800806
233,1058275.7239571495
234,1060125.9884035294
235,1055921.0655247031
236,1059650.3184355462
237,1059077.4906419928
238,1066193.6047386688
239,1069589.691356521
240,1069803.5346366325
241,1066037.7813455597
242,1065424.8440317118
243,1064359.0394071233
244,1066823.2864250762
245,1073741.631041788
246,1074553.0226266081
247,1073505.937034153
248,1077009.8772986298
249,1079534.2571769895
250,1077148.4479339707
251,1076681.8431787544
252,1089866.1238419057
253,1095567.8810337996
254,1097873.5511765599
255,1100382.5735912535
256,1097076.0287933454
257,1094326.1368846681
258,1099535.9482657374
259,1106300.0140999174
260,1107434.1590019392
261,1109584.9239435662
262,1116440.1660161763
263,1113786.3786950002
264,1108853.4178881184
265,1118883.909325898
266,1121747.6203425815
267,1114270.7681948747
268,1111165.0582975862
269,1113878.8019267682
270,1106464.5817364885
271,1101381.2038547038
272,1112866.629550709
273,1117169.3011413834
274,1118888.533475997
275,1120215.5320867267
276,1128279.987696698
277,1134266.0470530689
278,1134027.1119511554
279,1132505.500809111
280,1135279.6971141214
281,1135550.5917240945
282,1132732.130859158
283,1137142.2505838973
284,1137315.2741510568
285,1141600.6624912072
286,1135073.1547866906
287,1129034.9014430256
288,1123554.0142750954
289,1130247.119286702
290,1139794.0684315986
291,1137013.7363840942
292,1125532.1990896745
293,1138761.048414392
294,1135733.6770719653
295,1132848.867364973
296,1135939.0223366094
297,1143545.3647569914
298,1126100.6387036531
299,1120273.9071439567
300,1114937.4760736797
301,1104458.9655922956
302,1089933.3483067623
303,1094077.6448450382
304,1108191.0068740342
305,1126108.5793009237
306,1124638.8683145207
307,1125850.372041688
308,1133552.5040485356
309,1136675.635769581
310,1139072.9660694653
311,1138906.299996536
312,1149457.9680781642
313,1149061.32240767
314,1153194.070406801
315,1152179.669426375
316,1153026.4322515652
317,1154557.275075544
318,1155752.5105264524
319,1156910.6017943844
320,1157826.5694180191
321,1145412.085046776
322,1145057.0617210635
323,1136852.3590138648
324,1145238.074042223
325,1135839.3303895227
326,1145843.8741166745
327,1162425.8082695475
328,1165281.0246666186
329,1163934.0376794674
330,1172104.1939866995
331,1177616.3445500694
332,1185078.821368008
333,1193008.7822555955
334,1197605.2039764049
335,1193403.5769785244
336,1186949.1338614263
337,1175305.4949501473
338,1179921.9460692697
339,1180397.214744461
340,1185050.245892873
341,1179409.4164682117
342,1177599.0741142915
343,1177604.1535314939
344,1174497.3072380866
345,1163300.3928838673
346,1167025.0893956064
347,1174296.807993982
348,1167857.1051154109
349,1153775.8707802272
350,1158098.3494095933
351,1156803.059437468
352,1154948.955081092
353,1163641.9959098203
354,1175178.7810802576
355,1162733.3989695294
356,1146812.7980046351
357,1138147.7078234437
358,1135383.6628100562
359,1135648.5251484446
360,1131195.6021490674
361,1138173.1533235507
362,1130930.7596560682
363,1132253.835387213
364,1143800.6247430742
365,1132198.4450049682
366,1130517.4886046464
367,1142852.6228241713
368,1140162.9720053365
369,1143012.0267958313
370,1142442.1423389069
371,1121198.8906667917
372,1121256.846183427
373,1123241.552310316
374,1130611.5798535612
375,1139231.6011183625
376,1151189.6516121482
377,1164674.737604835
378,1172097.0309027322
379,1174753.0944402753
380,1186313.5209580753
381,1179644.5710245522
382,1169122.3294288449
383,1166377.886871535
384,1166807.493425914
385,1160576.7667166388
386,1156511.416589838
387,1147587.8079039669
388,1156812.8039421528
389,1167418.745770905
390,1173862.1197750699
391,1174818.3399453042
392,1164968.6955991318
393,1157690.561565306
394,1147669.4066298746
395,1143800.6124727286
396,1130724.649795667
397,1133424.5057318031
398,1121403.3715948232
399,1102478.9495549349
400,1080687.3998937851
401,1060933.7149372709
402,1028284.6743905214
403,1016278.1139530624
404,1012626.6015613964
405,1016336.8195585674
406,1039356.7948233647
407,1055121.431702983
408,1054752.0679103113
409,1056349.6513943106
410,1015895.8494186198
411,1013160.9544348083
412,1013054.2942662574
413,1016959.2336036181
414,1037983.8233461839
415,1044292.9983465266
416,1032480.0684472733
417,1063807.554132393
418,1069351.9465101322
419,1079227.0205663173
420,1077730.7839300982
421,1046232.7421991944
422,1022849.7989187958
423,1052868.5052310086
424,1054704.2817703015
425,1028174.6097835671
426,1014137.1659809314
427,1028526.5812352897
428,1039542.7508179813
429,1056282.708667085
430,1066687.4857846354
431,1051341.862239695
432,1059982.031318117
433,1044550.885304627
434,993535.9293645888
435,990713.7577263133
436,1010237.1263843116
437,1038017.292116585
438,1029018.1036988529
439,1023162.906865688
440,1013456.4048877191
441,996364.9867238506
442,970886.6092300438
443,991168.2866781234
444,1004553.2433938942
445,1019094.6826387324
446,1034957.4691358279
447,1039830.4618709635
448,1050570.259411312
449,1040818.0106317084
450,1051231.643012877
451,1045183.5515112864
452,1042663.6283963093
453,1050619.7865702403
454,1042226.3202545228
455,1060896.3172562085
456,1074807.4076544647
457,1065862.6037230222
458,1071295.964104941
459,1105839.4891957873
460,1110424.8201608052
461,1094206.108169229
462,1057205.2623330236
463,1068974.2295441064
464,1078165.6616951511
465,1077727.0487332686
466,1081103.580227626
467,1090763.81097972
468,1066770.1249180522
469,1066062.501666626
470,1084560.102090916
471,1085549.1299941326
472,1081402.257809456
473,1070851.3135638642
474,1055317.421447411
475,1051928.0578264096
476,1028016.4502709835
477,1024439.475256667
478,1010872.3674443017
479,1006726.0227804617
480,1028056.6721972183
481,1031299.7284770414
482,1063754.676887133
483,1076098.7501498964
484,1084802.858793446
485,1090702.0529947823
486,1093326.0700503225
487,1096638.556460255
488,1091478.4895825584
489,1096828.917792618
490,1086529.8797008488
491,1086886.4839703646
492,1070901.9417231677
493,1070061.8453805642
494,1067671.6909926448
495,1058552.6856235454
496,1072271.383983768
497,1073893.7807535317
498,1085695.805335431
499,1095403.0629985917
500,1099118.2592719088
501,1090630.567517544
502,1090676.4196250108
503,1090828.9516050047
504,1108403.8084438643
505,1100987.4186453763
506,1095111.303311891
507,1093751.2507034428
508,1094534.0062905126
509,1107615.988611241
510,1102620.225317793
511,1101132.8578369727
512,1092490.3624933104
513,1105710.5841947505
514,1106595.670577872
515,1115772.0827065438
516,1118960.3152455103
517,1125035.4565543686
518,1119197.454859106
519,1121630.2641944592
520,1132144.5985726016
521,1123039.967003566
522,1115640.2248662224
523,1122020.4762287328
524,1132236.3433456835
525,1129686.5053032704
526,1141715.4338603585
527,1140500.0550316812
528,1138355.2559935837
529,1138227.1775083833
530,1142112.3425403833
531,1132910.3085924033
532,1138992.253009683
533,1134488.0289421275
534,1134719.9464470185
535,1135252.654016436
536,1144354.708832295
537,1147718.4548473903
538,1147087.2195106696
539,1148210.6101491372
540,1151282.1243119994
541,1148092.703145517
542,1151726.5104471156
543,1150747.413334604
544,1151692.490915435
545,1152170.9110574278
546,1148794.4839659075
547,1134534.667324655
548,1136276.2952910063
549,1148406.3686056326
550,1149586.598738957
551,1149932.0986158568
552,1161069.625296549
553,1172150.9815427277
554,1174124.9218928544
555,1179985.255103972
556,1180518.0390145471
557,1177039.523416816
558,1176823.6572188637
559,1166476.9652141356
560,1167810.7854751362
561,1180270.7696672387
562,1185474.4890031472
563,1178283.069773286
564,1169594.9456332435
565,1175131.0961720906
566,1179053.1888581708
567,1177218.7141793317
568,1163722.181698076
569,1156952.9279714623
570,1144685.8494549177
571,1135543.3662975435
572,1135972.284775258
573,1142359.399944985
574,1141281.3213007133
575,1141951.7980290712
576,1153484.7234742797
577,1150917.7894984349
578,1144297.5427504925
579,1147351.2904621516
580,1136620.4632164757
581,1147975.4044790184
582,1163752.1385298367
583,1173407.1265472732
584,1181834.8706266824
585,1178635.9935136263
586,1184442.7672565992
587,1180696.2330079991
588,1179210.006707132
589,1166834.8062106909
590,1160278.6526856672
591,1153093.4699151267
592,1147449.6503432041
593,1152384.1515143043
594,1144236.4842696611
595,1130724.0877805334
596,1130731.2655145868
597,1127272.4816625104
598,1114529.3430481418
599,1101203.7354132852
600,1103362.854485382
601,1110519.4475228032
602,1098218.4011256346
603,1103240.5185197636
604,1101401.8413817454
605,1104645.4810174007
606,1093402.9077991017
607,1090774.39061352
608,1073777.1866352726
609,1067410.625086637
610,1067477.1303184072
611,1084006.504350203
612,1101294.1437330558
613,1096579.2223414327
614,1103237.3795383936
615,1103546.2818421458
616,1109493.3185790256
617,1113171.8973820962
618,1126641.899129648
619,1127994.4172600072
620,1133529.1390684885
621,1131351.2400621073
622,1124050.3635948438
623,1117348.9264820134
624,1106560.769002418
625,1106659.4691803956
626,1115879.1891465816
627,1112390.79649899
628,1137977.8121491363
629,1143880.1702341044
630,1149677.3418129578
631,1150023.8185837069
632,1137299.186203874
633,1136461.504456231
634,1137418.2209118549
635,1128022.6546297045
636,1119971.2042815455
637,1132131.7151133765
638,1139268.7333009094
639,1141826.9938168793
640,1149449.0529755468
641,1162684.184562418
642,1156163.3118871066
643,1137023.3100119834
644,1136865.9431551208
645,1144578.4569664148
646,1165050.9895681713
647,1176689.4615749565
648,1181632.1450695905
649,1180059.9531173848
650,1178326.6542194372
651,1158842.2105481373
652,1174826.5688399742
653,1179017.191503498
654,1182551.4673196774
655,1181570.6333160251
656,1180883.6709716874
657,1176712.2819022543
658,1179140.7615849937
659,1181935.5308075876
660,1177444.6958777076
661,1179681.4636529011
662,1184200.8224640253
663,1181963.900779078
664,1181668.0597375254
665,1173781.1595473918
666,1164744.9344974812
667,1163802.2730629772
668,1170608.403181547
669,1167655.934294562
670,1169173.3491097689
671,1160637.0120295961
672,1169171.7185117942
673,1168626.172546469
674,1171996.1375020754
675,1182857.2544370694
676,1187304.7487689
677,1186030.209446634
678,1187599.484869757
679,1190455.2724977836
680,1200026.1890537683
681,1210973.1535479883
682,1206420.0419747785
683,1203412.5918043584
684,1205209.7962596512
685,1198946.3838958477
686,1203830.7949438388
687,1199686.0711208573
688,1202383.4662428186
689,1194577.6178414188
690,1197028.3855517015
691,1194125.9190227352
692,1211176.2080299037
693,1208106.25639366
694,1205342.2570747957
695,1212061.3952243219
696,1218749.4003241537
697,1216417.1075754475
698,1212695.54001211
699,1200757.6924133936
700,1202875.7269956714
701,1200551.2340871731
702,1201861.376560062
703,1216388.0285671232
704,1215823.138604171
705,1217567.6862734244
706,1210933.9268041162
707,1202551.7994009445
708,1184444.3655104013
709,1183075.724007284
710,1178647.5115401524
711,1177105.5784199054
712,1179892.1430684712
713,1188078.1548126717
714,1186616.216613076
715,1174395.3429482419
716,1187775.407640487
717,1166397.150014667
718,1159198.8466999899
719,1156902.4720300976
720,1161451.6702324757
721,1159981.20271274
722,1145612.4782325944
723,1134043.96936238
724,1133632.5689546054
725,1150110.4457551455
726,1153021.4879635337
727,1157977.387169563
728,1165930.143404858
729,1165538.6465576252
730,1163590.06564791
731,1159721.8554740434
732,1172866.888932638
733,1172567.5043998575
734,1172803.5209887873
735,1170019.3916085493
736,1171074.7382945556
737,1175074.4155697608
738,1181115.3585180477
739,1187784.4506599319
740,1199150.593210566
741,1202889.6221809653
742,1196153.4980032505
743,1192290.0844363421
744,1196705.294036945
745,1207852.784472065
746,1212757.7654819575
747,1210434.8102841612
748,1202386.4090236472
749,1204945.776261509
750,1204234.9443130195
751,1196859.5616743055
752,1192153.1787965272
753,1190408.1639974467
754,1222145.4090104015
755,1224511.5192530162
756,1228249.3284933663
757,1228198.9974258223
758,1222147.792967729
759,1229406.1730545673
760,1236993.3150765682
761,1238963.210108957
762,1240847.4852996
763,1240663.5985238198
764,1240425.4834984355
765,1247096.362426777
766,1248225.278236345
767,1249940.027661163
768,1254007.2501888175
769,1258475.1458301288
770,1260997.4254598406
771,1261165.7438315698
772,1264616.301540585
773,1269398.319031242
774,1265425.2763598766
775,1274012.4467276905
776,1268993.8292910089
777,1282949.4296707727
778,1282252.596190655
779,1287612.2916224801
780,1291288.486816954
781,1289713.4869683024
782,1295455.372965124
783,1291827.2206056728
784,1292194.9966949837
785,1291763.430814577
786,1297420.5775602171
787,1300476.1763352405
788,1291154.1053557163
789,1298865.476372981
790,1295458.7065321743
791,1285374.2621457407
792,1295792.3809703628
793,1303539.5150830254
794,1299270.9928925803
795,1306146.9096678018
796,1319949.5030237404
797,1325624.892140394
798,1331934.7454067613
799,1334771.8908810343
800,1340247.027157923
801,1346323.4096148906
802,1349564.999392068
803,1358287.2842586664
804,1362191.4434756848
805,1358735.294811903
806,1362611.4717214194
807,1371555.251495421
808,1364197.4080194817
809,1367748.1570954528
810,1370337.2345793617
811,1378204.5371486226
812,1377462.0442805523
813,1381468.955387324
814,1379805.9426225133
815,1381421.789956834
816,1375576.383750208
817,1370055.7702982863
